dia,id,duration,title,onTV
lunes,B02Qs6Wm3TGMjxm5EZKRowHdNTUPb020048AMJa45YDXVM,1060.893178,"17 Minutos con Cata",true
lunes,IjUQQvDDhAOMHHS57ORIVl9f01vvb5425FmzPIdF5LRI,73.633333,"A Game of Drones â€” Early Access Trailer",true
lunes,A14ToM2G9Mmi101NejPlGtAjj8oNGWnyIt302xeWw3oHw,605.146211,"After You're Gone â€” Fancy Dogsâ„¢",true
lunes,CbBSyr5FvC7I00PpxpKNJBW1ibyLuT6Lr52uyeZHHyBg,2457.566667,"Alfredo Cafferata en TOXI Media",true
lunes,z02O01aMd02YkbeUb01syS400owVLRZ4oOJ6m463hcQ7FseQ,956.08,"BAFICI Nights con Fabrizio Sanguinetti",true
lunes,SKB56hnQQV6Tame5VKea02w8E01Ijm7iyHUY5dZXYHKmU,1270.811211,"Bebop Big Band â€” Bebop Club, 7 de Abril de 2025",true
lunes,KrzHBlHcZCL71mIfCoPKiCMs2iBQMAq8vbhXr701OtQg,17.966667,"Carola Gil le informa a Carlos Pagni la existencia de Pizza & Pagni",true
lunes,m8ehCQajSn5f8LVTIdGUNlAePZ7iARoXJHCFjOCmkxE,30.196844,"Charlas Interactivas â€” Xplora Academy",true
lunes,FZAP5bJ2O5L16da7Ls1YdSGIiGEZfqTf02dR46z8tfk00,588.254344,"Cuento de la Selva",true
lunes,KqSlF5LSKjW028548zaZ5c7aPQNARdgA9pbuTGrL800r8,616.782844,"Desarrollos Regenerativos â€” Novedades MarÃ­a Teresa",true
martes,IHikcrMnpK00Dxsyb7xKpi1qpju01I00JmCpNXXrhg1WZg,163.081,"Detective Noir",true
martes,Lsb01QL2dVq63701jEQ01d2DgIo4T2ZzNnRSGNIYeCpX4s,17.267256,"DetrÃ¡s de las Risas â€” Teaser",true
martes,PDLQLpJTnqba3Rn6HBdwb6SJwDR5Tmtm02WZH6jNzsFY,2619.033089,"El Maravilloso Mundo de TOXI",true
martes,yyJADkna02dmJtNdyUoHDOYQMcjsxKcjf63O00w01mm1ZI,149.6495,"Fiesta en la Cocina",true
martes,z3jU3rp9rTOr95501nz025OP2q9FIz89cwPHO7kyT7Lb8,63.866667,"Galaxy Adventure 2",true
martes,XDIDz4TQ34vozsemiHeyuzMi6OuqQR7oAB1HHaVCIOA,166.541378,"Hedonismo y SeducciÃ³n",true
martes,2EFUXtMAx4u7QFmnXYC01P00cgpa4z02QqKVgSAkcuqYpg,101.551467,"Hedonismo y SeducciÃ³n",true
martes,k5WwHsdgrHNOzSdhUDGjjRVsK02u00WPQgQKhgYUYDtbk,104.020589,"Hedonismo y SeducciÃ³n",true
martes,00VG6EL1oC4eI96PVQXeobbdZ6GBNwrmUAexIDdiMpTc,160.326833,"Hipo Hip Hop",true
miercoles,iytKgjz1JJhz3Kl01WLcTCFZ9DTVClWf00kn71ACPW1AU,339.548,"Hotel Oriente",true
